Image,Title,Sales Rank: Current,Reviews: Rating,Buy Box: Current,Buy Box: Stock,Amazon: Current,Amazon: Stock,New: Current,List Price: Current,Categories: Tree,Website Display Group: Name,ASIN,Product Codes: EAN,Brand,Author,Unnamed: 16,Ürün adı,Kategori Ağacı,Ürün adı success,Kategori Ağacı success
https://m.media-amazon.com/images/I/617nkwUvdwL.jpg;https://m.media-amazon.com/images/I/61xICL9xb3L.jpg;https://m.media-amazon.com/images/I/61RNnRgZbmL.jpg;https://m.media-amazon.com/images/I/81R+ng1LZzL.jpg;https://m.media-amazon.com/images/I/615euskFamL.jpg;https://m.media-amazon.com/images/I/81OLe4hOjzL.jpg;https://m.media-amazon.com/images/I/71a3VNNChUL.jpg;https://m.media-amazon.com/images/I/71+tvwqTG2L.jpg;https://m.media-amazon.com/images/I/51Z7aXwVO0L.jpg;https://m.media-amazon.com/images/I/41CkCgvRU3L.jpg,"Tefal OptiGrill Kontaktgrill – Elektrogrill mit 6 automatischen Programmen, Garstufenanzeige und automatischer Temperaturanpassung, Auftau- und Manueller Modus, abnehmbare antihaftbeschichtete Platten",522.0,4.6,89.00 -C0A,1000.0,89.00 -C0A,1000.0,89.00 -C0A,129.98 -C0A,"Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Innengrills & Raclettes › Elektrische Tischgrills",Küche & Haushalt,B08757P2FD,3168430309227,Tefal,,,"Tefal OptiGrill temaslı ızgara - 6 otomatik programlı elektrikli ızgara, pişirme seviyesi göstergesi ve otomatik sıcaklık ayarı, buz çözme ve manuel mod, çıkarılabilir yapışmaz kaplamalı plakalar","Mutfak, ev ve yaşam › Elektrikli mutfak aletleri › İç mekan ızgaraları ve raclette'ler › Elektrikli masa ızgaraları",True,True
https://m.media-amazon.com/images/I/61O74j7+JgL.jpg;https://m.media-amazon.com/images/I/61xICL9xb3L.jpg;https://m.media-amazon.com/images/I/81T8cuETTWL.jpg;https://m.media-amazon.com/images/I/71t7V6OE10L.jpg;https://m.media-amazon.com/images/I/71Xi1-29nbL.jpg;https://m.media-amazon.com/images/I/61Xi0jvnnRL.jpg;https://m.media-amazon.com/images/I/61e5+Xev+CL.jpg;https://m.media-amazon.com/images/I/41qmoLLJkPL.jpg,Tefal Kontaktgrill OptiGrill GC7058,522.0,4.6,,,,,108.22 -C0A,149.98 -C0A,"Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Innengrills & Raclettes › Elektrische Tischgrills",Küche & Haushalt,B0B8DQJMJT,3168437246587,Tefal,,,Tefal kontak ızgarası OptiGrill GC7058,"Mutfak, ev ve yaşam › Elektrikli mutfak aletleri › İç mekan ızgaraları ve raclette'ler › Elektrikli masa ızgaraları",True,True
https://m.media-amazon.com/images/I/71q31djwdiL.jpg;https://m.media-amazon.com/images/I/41Tq99UOxyL.jpg;https://m.media-amazon.com/images/I/41NU6BvxjmL.jpg;https://m.media-amazon.com/images/I/41fMU8dPs9L.jpg;https://m.media-amazon.com/images/I/418lwGEK2LL.jpg;https://m.media-amazon.com/images/I/41qXHOeyyfL.jpg;https://m.media-amazon.com/images/I/41fSgBArlnL.jpg,"MANSPOT Intimrasierer Mann, Körperhaartrimmer für Herren, Professioneller Body Trimmer Wasserdicht mit 4 Scherkämmen – Für Trimmen von Brust, Beinen, Achseln & Intimbereich – Nass & Trocken",581.0,4.3,,,,,,690.00 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B09HZTKLNP,0768461086499,MANSPOT,,,"MANSPOT Erkekler için Samimi Tıraş Makinesi, Erkekler için Vücut Tüyü Kesme Makinesi, 4 Tıraş Tarağıyla Suya Dayanıklı Profesyonel Vücut Düzeltme Makinesi - Göğüs, Bacaklar, Koltuk Altları ve Mahrem Bölgeleri Düzeltmek İçin - Islak ve Kuru","Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
https://m.media-amazon.com/images/I/51WwKaIQFfL.jpg;https://m.media-amazon.com/images/I/51uYlluyVmL.jpg;https://m.media-amazon.com/images/I/816T8etJf0L.jpg;https://m.media-amazon.com/images/I/71RlkbiNq5L.jpg;https://m.media-amazon.com/images/I/71WPafZZ5FL.jpg;https://m.media-amazon.com/images/I/719YEaHbldL.jpg;https://m.media-amazon.com/images/I/81++yzIE7dL.jpg;https://m.media-amazon.com/images/I/31ayNVVAZIL.jpg,"Tefal SuperGrill 3in1 Kontaktgrill, Tischgrill & BBQ, Ofenposition mit 3 Höhen, 2000 W, Thermostat, große Antihaftfläche, für Fleisch, Gemüse & Sandwiches, bis 6 Portionen, platzsparend, B0DTJ3M6YW",1049.0,4.4,84.90 -C0A,3.0,84.90 -C0A,3.0,84.90 -C0A,124.99 -C0A,"Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Innengrills & Raclettes › Elektrische Tischgrills",Küche & Haushalt,B0DTJ3M6YW,3045380028319,Tefal,,,"Tefal SuperGrill 3'ü 1 arada temaslı ızgara, masa ızgarası ve Barbekü, 3 yükseklikte fırın konumu, 2000 W, termostat, geniş yapışmaz yüzey, et, sebze ve sandviçler için, 6 porsiyona kadar, yerden tasarruf sağlayan, B0DTJ3M6YW","Mutfak, ev ve yaşam › Elektrikli mutfak aletleri › İç mekan ızgaraları ve raclette'ler › Elektrikli masa ızgaraları",True,True
https://m.media-amazon.com/images/I/61GLfH2Y+2L.jpg;https://m.media-amazon.com/images/I/517eGZqJj3L.jpg;https://m.media-amazon.com/images/I/81xlZOWe4nL.jpg;https://m.media-amazon.com/images/I/81g5SbPx9HL.jpg;https://m.media-amazon.com/images/I/71U2Txj2FUL.jpg;https://m.media-amazon.com/images/I/71RlkbiNq5L.jpg;https://m.media-amazon.com/images/I/81XkjCfQyoL.jpg;https://m.media-amazon.com/images/I/61eiy2k2nDL.jpg;https://m.media-amazon.com/images/I/71e8e11Zs5L.jpg,"Tefal Kontaktgrill SuperGrill 3in1 – 2200 W, XL-BBQ-Funktion, 800 cm² Grillfläche, 3-fach Ofenposition, Thermostat, antihaftbeschichtet, Schwarz/Silber, GC520DE0",1049.0,4.4,128.99 -C0A,1000.0,128.99 -C0A,1000.0,128.99 -C0A,139.99 -C0A,"Küche, Haushalt & Wohnen › Elektrische Küchengeräte › Innengrills & Raclettes › Elektrische Tischgrills",Küche & Haushalt,B0DTJ4CJGH,3045380028340,Tefal,,,"Tefal temaslı ızgara SuperGrill 3'ü 1 arada - 2200 W, XL Barbekü işlevi, 800 cm² ızgara yüzeyi, 3 fırın konumu, termostat, yapışmaz kaplama, siyah/gümüş, GC520DE0","Mutfak, ev ve yaşam › Elektrikli mutfak aletleri › İç mekan ızgaraları ve raclette'ler › Elektrikli masa ızgaraları",True,True
https://m.media-amazon.com/images/I/71TS4IjGAxL.jpg;https://m.media-amazon.com/images/I/81K3s8-GqDL.jpg;https://m.media-amazon.com/images/I/61hORW-TteL.jpg;https://m.media-amazon.com/images/I/71UTkdmG1BL.jpg;https://m.media-amazon.com/images/I/81Yy59HfkjL.jpg;https://m.media-amazon.com/images/I/81mCbKfDPVL.jpg;https://m.media-amazon.com/images/I/61KFgrlARoL.jpg;https://m.media-amazon.com/images/I/81Jz2fc+OLL.jpg;https://m.media-amazon.com/images/I/71yk0PN+llL.jpg,"Philips Bodygroom 5000 für Herren – mit Dreifachschutz-Rasiersystem, elektrisch trimmen und rasieren im Intimbereich, klappbarer Rückenaufsatz, 100% duschfest, 100 Min. Laufzeit, Modell BG5480/15",1440.0,4.0,69.99 -C0A,3.0,69.99 -C0A,3.0,67.46 -C0A,69.99 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B0FJM1C3GJ,8720689027076,Philips,,,"Erkekler için Philips Bodygroom 5000 - üçlü korumalı tıraş sistemi, özel bölgede elektrikli düzeltme ve tıraş, katlanabilir sırt aparatı, %100 duşa dayanıklı, 100 dakika. çalışma süresi, model BG5480/15","Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
https://m.media-amazon.com/images/I/71HyECe05dL.jpg;https://m.media-amazon.com/images/I/71+T0Jw34qL.jpg;https://m.media-amazon.com/images/I/71tQ55Hhh9L.jpg;https://m.media-amazon.com/images/I/711Yl8a2mDL.jpg;https://m.media-amazon.com/images/I/717w5Mx3w9L.jpg;https://m.media-amazon.com/images/I/716nryDPCLL.jpg;https://m.media-amazon.com/images/I/71QCVM3ARhL.jpg,"Philips Bodygroom Series 5000, wasserfester Trimmer für Intimbereich und Körper, gründliche und angenehme Rasur, Ganzkörperpflege einschließlich Rücken, 60 Min. Laufzeit, Modell BG5021/16",1440.0,4.4,,,,,,64.99 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B0CR4CC5R5,8720689020565,Philips,,,"Philips Bodygroom Series 5000, özel bölge ve vücut için su geçirmez düzeltici, yakın ve rahat tıraş, sırt dahil tüm vücut bakımı, 60 dk. çalışma süresi, model BG5021/16","Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
https://m.media-amazon.com/images/I/81qEGFIwO2L.jpg;https://m.media-amazon.com/images/I/81tqWAaPdHL.jpg;https://m.media-amazon.com/images/I/71X26ahtvsL.jpg;https://m.media-amazon.com/images/I/713R7VDebiL.jpg;https://m.media-amazon.com/images/I/81t4UnzPx6L.jpg;https://m.media-amazon.com/images/I/71rgvus4ldL.jpg,"Philips Bodygroom Series 7000 – Trimmer für Männer, flexiblem 2D-Scherkopf Dreifachschutz -austauschbare Scherköpfe, Nutzung im Intimbereich, 100% duschfest, 120 Min. Laufzeit, Modell BG7480/15",1643.0,4.1,89.99 -C0A,3.0,89.99 -C0A,3.0,89.99 -C0A,89.99 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B0FJM3ZVLJ,8720689048170,Philips,,,"Philips Bodygroom Series 7000 - erkekler için düzeltici, esnek 2D tıraş başlığı, üçlü koruma - değiştirilebilir tıraş başlıkları, özel bölgede kullanım, %100 duşa dayanıklı, 120 dakika. çalışma süresi, model BG7480/15","Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
https://m.media-amazon.com/images/I/81O2wZxkTfL.jpg;https://m.media-amazon.com/images/I/81RmMbvgowL.jpg;https://m.media-amazon.com/images/I/611oNmaZ5RL.jpg;https://m.media-amazon.com/images/I/81YHdDatWlL.jpg;https://m.media-amazon.com/images/I/41kqdWorAZL.jpg,"Philips Body Groomer 7000 Series - Trimmer für Herren mit 2D-Flexkopf, Triple Protect Shave System, austauschbaren Köpfen, Intimate Trim & Shave, 100% duschfest, 120 Min. Laufzeit, Modell BG7485/30",1643.0,4.3,99.99 -C0A,3.0,99.99 -C0A,3.0,99.99 -C0A,99.99 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B0FK5XZMGV,8720689042789,Philips,,,"Philips Vücut Bakım Seti 7000 Serisi - Erkekler için 2D esnek başlıklı düzeltici, Üçlü Korumalı Tıraş Sistemi, değiştirilebilir başlıklar, Samimi Düzeltme ve Tıraş, %100 duşa dayanıklı, 120 dk. çalışma süresi, model BG7485/30","Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
https://m.media-amazon.com/images/I/81-Oser312L.jpg;https://m.media-amazon.com/images/I/51g6iaE5+rL.jpg;https://m.media-amazon.com/images/I/71Gg7YMkFuL.jpg;https://m.media-amazon.com/images/I/71MSeZmvo-L.jpg;https://m.media-amazon.com/images/I/71T8CqU+ARL.jpg;https://m.media-amazon.com/images/I/61NkEUm8bcL.jpg;https://m.media-amazon.com/images/I/51YJWcI3mKL.jpg,Philips BG7025/15 Bodygroom Series 7000 mit integriertem Kammaufsatz (3 bis 11 mm),1643.0,4.3,108.53 -C0A,4.0,,,108.53 -C0A,89.99 -C0A,"Drogerie & Körperpflege › Rasur & Enthaarung › Trimmer, Scherer & Körperhaartrimmer › Körperhaartrimmer",Drogerie & Körperpflege,B07FJHZDPL,"8710103874669, 8710103875376",Philips,,,Philips BG7025/15 Entegre tarak aparatlı Bodygroom Serisi 7000 (3 ila 11 mm),"Eczane ve Kişisel Bakım › Tıraş ve Epilasyon › Düzelticiler, Saç Kesme Makineleri ve Vücut Tüyü Düzelticiler › Vücut Tüyü Düzelticiler",True,True
